"리전","아시아 태평양(싱가포르)($)","아시아 태평양(도쿄)($)","미국 서부(캘리포니아 북부)($)","미국 동부(버지니아 북부)($)","미국 동부(오하이오)($)","리전 없음($)","아시아 태평양(서울)($)","글로벌($)"," 아시아 태평양(오사카)($)","캐나다(중부)($)","아시아 태평양(뭄바이)($)","아시아 태평양(시드니)($)","유럽(아일랜드)($)","미국 서부(오레곤)($)","유럽(프랑크푸르트)($)","유럽(스톡홀름)($)","유럽(런던)($)","유럽(파리)($)","남아메리카(상파울루)($)","총 비용($)"
"리전 합계","477.6989262624","297.6324266388","266.9558787289","225.7328920022","188.4454165863","156.43","92.4194493742","8.22580632","4.2094049257","2.7712365605","0.000005","0.000005","0.000005","0.000005","0","0","0","0","0","1720.521457399"
"2026-08-01","477.6989262624","297.6324266388","266.9558787289","225.7328920022","188.4454165863","156.43","92.4194493742","8.22580632","4.2094049257","2.7712365605","0.000005","0.000005","0.000005","0.000005","0","0","0","0","0","1720.521457399"
